CAS or NOCAS-number,SMILES,TC TPO inhibition activity,Presence in test set marked with *
50-22-6,C12C(C)(C3C(C4C(C)(C(C(=O)CO)CC4)CC3O)CC1)CCC(=O)C=2,Inactive,
50-28-2,c12c(C3C(C4C(C)(C(O)CC4)CC3)CC1)ccc(O)c2,Active,
50-29-3,C(Cl)(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,Inactive,
50-35-1,C1(=O)c2c(C(=O)N1C1C(=O)NC(=O)CC1)cccc2,Inactive,
50-41-9,c1(C(c2ccc(OCCN(CC)CC)cc2)=C(Cl)c2ccccc2)ccccc1,Inactive,
50-78-2,C(=O)(O)c1c(OC(C)=O)cccc1,Inactive,
51-21-8,C1(=O)C(F)C=NC(=O)N1,Inactive,
51-24-1,c1(I)c(Oc2cc(I)c(O)cc2)c(I)cc(CC(=O)O)c1,Active,
51-28-5,c1(O)c(N(=O)=O)cc(N(=O)=O)cc1,Inactive,
51-30-9,c1(O)c(O)cc(C(O)CNC(C)C)cc1,Active,
51-52-5,C1(=O)CC(CCC)=NC(=S)N1,Active,
51-79-6,C(N)(=O)OCC,Inactive,
52-01-7,C12(C3(C)C(C4C(C5(C)C(=CC(=O)CC5)CC4SC(C)=O)CC3)CC1)CCC(=O)O2,Inactive,
52-51-7,C(Br)(CO)(CO)N(=O)=O,Inactive,
52-68-6,C(Cl)(Cl)(Cl)C(O)P(=O)(OC)OC,Inactive,
52-86-8,C(=O)(c1ccc(F)cc1)CCCN1CCC(O)(c2ccc(Cl)cc2)CC1,Inactive,
53-03-2,C(=O)(C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)C=C4)CC3)C(=O)C2)CC1)CO,Inactive,
53-16-7,C1(=O)C2(C)C(C3C(c4c(cc(O)cc4)CC3)CC2)CC1,Inactive,
53-86-1,C1(CC(=O)O)c2c(ccc(OC)c2)N(C(=O)c2ccc(Cl)cc2)C=1C,Inactive,
54-11-5,c1(C2CCCN2C)cccnc1,Inactive,
54-85-3,C(=O)(c1ccncc1)NN,Active,
55-18-5,C(C)N(CC)N=O,Inactive,
55-38-9,c1(SC)c(C)cc(OP(=S)(OC)OC)cc1,Active,
55-98-1,C1(CCN)=CNC=N1,Active,
56-04-2,C1(=O)CC(C)=NC(=S)N1,Active,
56-81-5,C(O)(CO)CO,Inactive,
